artist,year,title,genre,faces,black_1,black_2,black_3,white_1,white_2,white_3,red_1,red_2,red_3,lime_1,lime_2,lime_3,blue_1,blue_2,blue_3,yellow_1,yellow_2,yellow_3,cyan_1,cyan_2,cyan_3,magenta_1,magenta_2,magenta_3,silver_1,silver_2,silver_3,gray_1,gray_2,gray_3,maroon_1,maroon_2,maroon_3,olive_1,olive_2,olive_3,green_1,green_2,green_3,purple_1,purple_2,purple_3,teal_1,teal_2,teal_3,navy_1,navy_2,navy_3
"Earth, Wind & Fire",2015,Electric Universe,Electronic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364,0.0275,0,0.0117,0,0,0.0215,0.0119,0.0286,0.0144,0.0132,0,0,0,0,0,0,0,0.0386,0,0,0.0891,0,0
Soul Asylum,1990,And The Horse They Rode In On,Rock,0,0.0311,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4756,0.0259,0.243,0.0957,0.0251,0,0.0022,0.0007,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waylon Jennings,2002,The Eagle,"Folk, World, & Country",0,0.2731,0.1055,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054,0.0032,0,0.011,0.0514,0.0339,0,0,0,0.0371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natalie Imbruglia,2002,White Lilies Island,Electronic,0,0.02,0.0037,0,0.5241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1795,0.1242,0,0.0162,0.008,0,0.003,0.0024,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen Campbell,,I'll Paint You A Song,"Folk, World, & Country",1,0,0,0,0.0509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738,0.0347,0,0.1454,0.0601,0.0648,0.0447,0.026,0,0.0793,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave Davies,2014,Rippin' Up Time,Rock,0,0.0689,0.0092,0,0.6526,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106,0.0104,0.1475,0.0063,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Williams,1989,One Good Well,"Folk, World, & Country",0,0.2868,0.0637,0.0477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0,0,0.0897,0.1799,0.0809,0,0,0,0.0339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Too Short,2000,You Nasty,Hip Hop,1,0.2993,0.1212,0.0267,0.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349,0.0161,0,0.0868,0.0347,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Shorter,1973,Adam's Apple,Jazz,1,0.4236,0,0,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0.0671,0,0,0.0505,0.038,0.0191,0.0297,0.032,0.0085,0,0,0,0,0,0,0,0,0,0,0,0
Joe Pass,1993,My Song,Jazz,1,0.3654,0.1902,0,0.0083,0,0,0,0,0,0,0,0,0,0,0,0.0014,0,0,0,0,0,0,0,0,0,0,0,0.0051,0.0026,0.0014,0.0704,0.0536,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
